SourceField,DataType
CUST_ACCOUNT_ID,NUMERIC
PARTY_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
ACCOUNT_NUMBER,STRING
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
WH_UPDATE_DATE,DATETIME
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
ORIG_SYSTEM_REFERENCE,STRING
STATUS,STRING
CUSTOMER_TYPE,STRING
CUSTOMER_CLASS_CODE,STRING
PRIMARY_SALESREP_ID,NUMERIC
SALES_CHANNEL_CODE,STRING
ORDER_TYPE_ID,NUMERIC
PRICE_LIST_ID,NUMERIC
SUBCATEGORY_CODE,STRING
TAX_CODE,STRING
FOB_POINT,STRING
FREIGHT_TERM,STRING
SHIP_PARTIAL,STRING
SHIP_VIA,STRING
WAREHOUSE_ID,NUMERIC
PAYMENT_TERM_ID,NUMERIC
TAX_HEADER_LEVEL_FLAG,STRING
TAX_ROUNDING_RULE,STRING
COTERMINATE_DAY_MONTH,STRING
PRIMARY_SPECIALIST_ID,NUMERIC
SECONDARY_SPECIALIST_ID,NUMERIC
ACCOUNT_LIABLE_FLAG,STRING
RESTRICTION_LIMIT_AMOUNT,NUMERIC
CURRENT_BALANCE,NUMERIC
PASSWORD_TEXT,STRING
HIGH_PRIORITY_INDICATOR,STRING
ACCOUNT_ESTABLISHED_DATE,DATETIME
ACCOUNT_TERMINATION_DATE,DATETIME
ACCOUNT_ACTIVATION_DATE,DATETIME
CREDIT_CLASSIFICATION_CODE,STRING
DEPARTMENT,STRING
MAJOR_ACCOUNT_NUMBER,STRING
HOTWATCH_SERVICE_FLAG,STRING
HOTWATCH_SVC_BAL_IND,STRING
HELD_BILL_EXPIRATION_DATE,DATETIME
HOLD_BILL_FLAG,STRING
HIGH_PRIORITY_REMARKS,STRING
PO_EFFECTIVE_DATE,DATETIME
PO_EXPIRATION_DATE,DATETIME
REALTIME_RATE_FLAG,STRING
SINGLE_USER_FLAG,STRING
WATCH_ACCOUNT_FLAG,STRING
WATCH_BALANCE_INDICATOR,STRING
GEO_CODE,STRING
ACCT_LIFE_CYCLE_STATUS,STRING
ACCOUNT_NAME,STRING
DEPOSIT_REFUND_METHOD,STRING
DORMANT_ACCOUNT_FLAG,STRING
NPA_NUMBER,STRING
PIN_NUMBER,NUMERIC
SUSPENSION_DATE,DATETIME
WRITE_OFF_ADJUSTMENT_AMOUNT,NUMERIC
WRITE_OFF_PAYMENT_AMOUNT,NUMERIC
WRITE_OFF_AMOUNT,NUMERIC
SOURCE_CODE,STRING
COMPETITOR_TYPE,STRING
COMMENTS,STRING
DATES_NEGATIVE_TOLERANCE,NUMERIC
DATES_POSITIVE_TOLERANCE,NUMERIC
DATE_TYPE_PREFERENCE,STRING
OVER_SHIPMENT_TOLERANCE,NUMERIC
UNDER_SHIPMENT_TOLERANCE,NUMERIC
OVER_RETURN_TOLERANCE,NUMERIC
UNDER_RETURN_TOLERANCE,NUMERIC
ITEM_CROSS_REF_PREF,STRING
SHIP_SETS_INCLUDE_LINES_FLAG,STRING
ARRIVALSETS_INCLUDE_LINES_FLAG,STRING
SCHED_DATE_PUSH_FLAG,STRING
INVOICE_QUANTITY_RULE,STRING
PRICING_EVENT,STRING
ACCOUNT_REPLICATION_KEY,NUMERIC
STATUS_UPDATE_DATE,DATETIME
AUTOPAY_FLAG,STRING
NOTIFY_FLAG,STRING
LAST_BATCH_ID,NUMERIC
ORG_ID,NUMERIC
OBJECT_VERSION_NUMBER,NUMERIC
CREATED_BY_MODULE,STRING
APPLICATION_ID,NUMERIC
SELLING_PARTY_ID,NUMERIC
