SourceField,DataType
PO_HEADER_ID,NUMERIC
AGENT_ID,NUMERIC
TYPE_LOOKUP_CODE,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
SEGMENT1,STRING
SUMMARY_FLAG,STRING
ENABLED_FLAG,STRING
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
VENDOR_ID,NUMERIC
VENDOR_SITE_ID,NUMERIC
VENDOR_CONTACT_ID,NUMERIC
SHIP_TO_LOCATION_ID,NUMERIC
BILL_TO_LOCATION_ID,NUMERIC
TERMS_ID,NUMERIC
SHIP_VIA_LOOKUP_CODE,STRING
FOB_LOOKUP_CODE,STRING
FREIGHT_TERMS_LOOKUP_CODE,STRING
STATUS_LOOKUP_CODE,STRING
CURRENCY_CODE,STRING
RATE_TYPE,STRING
RATE_DATE,DATETIME
RATE,NUMERIC
FROM_HEADER_ID,NUMERIC
FROM_TYPE_LOOKUP_CODE,STRING
START_DATE,DATETIME
END_DATE,DATETIME
BLANKET_TOTAL_AMOUNT,NUMERIC
AUTHORIZATION_STATUS,STRING
REVISION_NUM,NUMERIC
REVISED_DATE,DATETIME
APPROVED_FLAG,STRING
APPROVED_DATE,DATETIME
AMOUNT_LIMIT,NUMERIC
MIN_RELEASE_AMOUNT,NUMERIC
NOTE_TO_AUTHORIZER,STRING
NOTE_TO_VENDOR,STRING
NOTE_TO_RECEIVER,STRING
PRINT_COUNT,NUMERIC
PRINTED_DATE,DATETIME
VENDOR_ORDER_NUM,STRING
CONFIRMING_ORDER_FLAG,STRING
COMMENTS,STRING
REPLY_DATE,DATETIME
REPLY_METHOD_LOOKUP_CODE,STRING
RFQ_CLOSE_DATE,DATETIME
QUOTE_TYPE_LOOKUP_CODE,STRING
QUOTATION_CLASS_CODE,STRING
QUOTE_WARNING_DELAY_UNIT,STRING
QUOTE_WARNING_DELAY,NUMERIC
QUOTE_VENDOR_QUOTE_NUMBER,STRING
ACCEPTANCE_REQUIRED_FLAG,STRING
ACCEPTANCE_DUE_DATE,DATETIME
CLOSED_DATE,DATETIME
USER_HOLD_FLAG,STRING
APPROVAL_REQUIRED_FLAG,STRING
CANCEL_FLAG,STRING
FIRM_STATUS_LOOKUP_CODE,STRING
FIRM_DATE,DATETIME
FROZEN_FLAG,STRING
SUPPLY_AGREEMENT_FLAG,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CLOSED_CODE,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
ORG_ID,NUMERIC
EDI_PROCESSED_FLAG,STRING
EDI_PROCESSED_STATUS,STRING
INTERFACE_SOURCE_CODE,STRING
REFERENCE_NUM,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
WF_ITEM_TYPE,STRING
WF_ITEM_KEY,STRING
MRC_RATE_TYPE,STRING
MRC_RATE_DATE,STRING
MRC_RATE,STRING
PCARD_ID,NUMERIC
PRICE_UPDATE_TOLERANCE,NUMERIC
PAY_ON_CODE,STRING
XML_FLAG,STRING
XML_SEND_DATE,DATETIME
XML_CHANGE_SEND_DATE,DATETIME
GLOBAL_AGREEMENT_FLAG,STRING
CONSIGNED_CONSUMPTION_FLAG,STRING
CBC_ACCOUNTING_DATE,DATETIME
CONSUME_REQ_DEMAND_FLAG,STRING
CHANGE_REQUESTED_BY,STRING
SHIPPING_CONTROL,STRING
CONTERMS_EXIST_FLAG,STRING
CONTERMS_ARTICLES_UPD_DATE,DATETIME
CONTERMS_DELIV_UPD_DATE,DATETIME
ENCUMBRANCE_REQUIRED,STRING
PENDING_SIGNATURE_FLAG,STRING
CHANGE_SUMMARY,STRING
ENCUMBRANCE_REQUIRED_FLAG,STRING
DOCUMENT_CREATION_METHOD,STRING
SUBMIT_DATE,DATETIME
ENABLE_ALL_SITES,STRING
CREATED_LANGUAGE,STRING
CPA_REFERENCE,NUMERIC
LAST_UPDATED_PROGRAM,STRING
OTM_STATUS_CODE,STRING
OTM_RECOVERY_FLAG,STRING
SUPPLIER_NOTIF_METHOD,STRING
FAX,STRING
EMAIL_ADDRESS,STRING
RETRO_PRICE_COMM_UPDATES_FLAG,STRING
RETRO_PRICE_APPLY_UPDATES_FLAG,STRING
UPDATE_SOURCING_RULES_FLAG,STRING
AUTO_SOURCING_FLAG,STRING
LOCK_OWNER_ROLE,STRING
LOCK_OWNER_USER_ID,NUMERIC
SUPPLIER_AUTH_ENABLED_FLAG,STRING
CAT_ADMIN_AUTH_ENABLED_FLAG,STRING
STYLE_ID,NUMERIC
TAX_ATTRIBUTE_UPDATE_CODE,STRING
PAY_WHEN_PAID,STRING
COMM_REV_NUM,NUMERIC
CLM_DOCUMENT_NUMBER,STRING
AME_APPROVAL_ID,NUMERIC
AME_TRANSACTION_TYPE,STRING
