SourceField,DataType
PO_LINE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
PO_HEADER_ID,NUMERIC
LINE_TYPE_ID,NUMERIC
LINE_NUM,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
ITEM_ID,NUMERIC
ITEM_REVISION,STRING
CATEGORY_ID,NUMERIC
ITEM_DESCRIPTION,STRING
UNIT_MEAS_LOOKUP_CODE,STRING
QUANTITY_COMMITTED,NUMERIC
COMMITTED_AMOUNT,NUMERIC
ALLOW_PRICE_OVERRIDE_FLAG,STRING
NOT_TO_EXCEED_PRICE,NUMERIC
LIST_PRICE_PER_UNIT,NUMERIC
UNIT_PRICE,NUMERIC
QUANTITY,NUMERIC
UN_NUMBER_ID,NUMERIC
HAZARD_CLASS_ID,NUMERIC
NOTE_TO_VENDOR,STRING
FROM_HEADER_ID,NUMERIC
FROM_LINE_ID,NUMERIC
MIN_ORDER_QUANTITY,NUMERIC
MAX_ORDER_QUANTITY,NUMERIC
QTY_RCV_TOLERANCE,NUMERIC
OVER_TOLERANCE_ERROR_FLAG,STRING
MARKET_PRICE,NUMERIC
UNORDERED_FLAG,STRING
CLOSED_FLAG,STRING
USER_HOLD_FLAG,STRING
CANCEL_FLAG,STRING
CANCELLED_BY,NUMERIC
CANCEL_DATE,DATETIME
CANCEL_REASON,STRING
FIRM_STATUS_LOOKUP_CODE,STRING
FIRM_DATE,DATETIME
VENDOR_PRODUCT_NUM,STRING
CONTRACT_NUM,STRING
TAXABLE_FLAG,STRING
TAX_NAME,STRING
TYPE_1099,STRING
CAPITAL_EXPENSE_FLAG,STRING
NEGOTIATED_BY_PREPARER_FLAG,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REFERENCE_NUM,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
MIN_RELEASE_AMOUNT,NUMERIC
