SourceField,DataType
DISTRIBUTION_ID,INTEGER
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,INTEGER
REQUISITION_LINE_ID,INTEGER
SET_OF_BOOKS_ID,INTEGER
CODE_COMBINATION_ID,INTEGER
REQ_LINE_QUANTITY,NUMERIC
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,DATETIME
CREATED_BY,INTEGER
ENCUMBERED_FLAG,STRING
GL_ENCUMBERED_DATE,DATETIME
GL_ENCUMBERED_PERIOD_NAME,STRING
GL_CANCELLED_DATE,DATETIME
FAILED_FUNDS_LOOKUP_CODE,STRING
ENCUMBERED_AMOUNT,INTEGER
BUDGET_ACCOUNT_ID,INTEGER
ACCRUAL_ACCOUNT_ID,INTEGER
VARIANCE_ACCOUNT_ID,INTEGER
PREVENT_ENCUMBRANCE_FLAG,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
REQUEST_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,DATETIME
PROJECT_ID,INTEGER
TASK_ID,INTEGER
EXPENDITURE_TYPE,STRING
PROJECT_ACCOUNTING_CONTEXT,STRING
EXPENDITURE_ORGANIZATION_ID,INTEGER
GL_CLOSED_DATE,DATETIME
SOURCE_REQ_DISTRIBUTION_ID,INTEGER
DISTRIBUTION_NUM,INTEGER
PROJECT_RELATED_FLAG,STRING
EXPENDITURE_ITEM_DATE,DATETIME
ORG_ID,INTEGER
ALLOCATION_TYPE,STRING
ALLOCATION_VALUE,NUMERIC
AWARD_ID,INTEGER
END_ITEM_UNIT_NUMBER,STRING
RECOVERABLE_TAX,NUMERIC
NONRECOVERABLE_TAX,NUMERIC
RECOVERY_RATE,INTEGER
TAX_RECOVERY_OVERRIDE_FLAG,STRING
OKE_CONTRACT_LINE_ID,INTEGER
OKE_CONTRACT_DELIVERABLE_ID,INTEGER
REQ_LINE_AMOUNT,INTEGER
REQ_LINE_CURRENCY_AMOUNT,INTEGER
REQ_AWARD_ID,INTEGER
EVENT_ID,INTEGER
