SourceField,DataType
CUST_TRX_TYPE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
POST_TO_GL,STRING
ACCOUNTING_AFFECT_FLAG,STRING
CREDIT_MEMO_TYPE_ID,NUMERIC
STATUS,STRING
NAME,STRING
DESCRIPTION,STRING
TYPE,STRING
DEFAULT_TERM,NUMERIC
DEFAULT_PRINTING_OPTION,STRING
DEFAULT_STATUS,STRING
GL_ID_REV,NUMERIC
GL_ID_FREIGHT,NUMERIC
GL_ID_REC,NUMERIC
SUBSEQUENT_TRX_TYPE_ID,NUMERIC
SET_OF_BOOKS_ID,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ALLOW_FREIGHT_FLAG,STRING
ALLOW_OVERAPPLICATION_FLAG,STRING
CREATION_SIGN,STRING
END_DATE,DATETIME
GL_ID_CLEARING,NUMERIC
GL_ID_TAX,NUMERIC
GL_ID_UNBILLED,NUMERIC
GL_ID_UNEARNED,NUMERIC
START_DATE,DATETIME
TAX_CALCULATION_FLAG,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
NATURAL_APPLICATION_ONLY_FLAG,STRING
ORG_ID,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
RULE_SET_ID,NUMERIC
SIGNED_FLAG,STRING
DRAWEE_ISSUED_FLAG,STRING
MAGNETIC_FORMAT_CODE,STRING
FORMAT_PROGRAM_ID,NUMERIC
GL_ID_UNPAID_REC,NUMERIC
GL_ID_REMITTANCE,NUMERIC
GL_ID_FACTOR,NUMERIC
ALLOCATE_TAX_FREIGHT,STRING
LEGAL_ENTITY_ID,NUMERIC
EXCLUDE_FROM_LATE_CHARGES,STRING
ADJ_POST_TO_GL,STRING
