SourceField,DataType
AE_HEADER_ID,NUMERIC
APPLICATION_ID,NUMERIC
LEDGER_ID,NUMERIC
ENTITY_ID,NUMERIC
EVENT_ID,NUMERIC
EVENT_TYPE_CODE,STRING
ACCOUNTING_DATE,DATETIME
GL_TRANSFER_STATUS_CODE,STRING
GL_TRANSFER_DATE,DATETIME
JE_CATEGORY_NAME,STRING
ACCOUNTING_ENTRY_STATUS_CODE,STRING
ACCOUNTING_ENTRY_TYPE_CODE,STRING
AMB_CONTEXT_CODE,STRING
PRODUCT_RULE_TYPE_CODE,STRING
PRODUCT_RULE_CODE,STRING
PRODUCT_RULE_VERSION,STRING
DESCRIPTION,STRING
DOC_SEQUENCE_ID,NUMERIC
DOC_SEQUENCE_VALUE,NUMERIC
ACCOUNTING_BATCH_ID,NUMERIC
COMPLETION_ACCT_SEQ_VERSION_ID,NUMERIC
CLOSE_ACCT_SEQ_VERSION_ID,NUMERIC
COMPLETION_ACCT_SEQ_VALUE,NUMERIC
CLOSE_ACCT_SEQ_VALUE,NUMERIC
BUDGET_VERSION_ID,NUMERIC
FUNDS_STATUS_CODE,STRING
ENCUMBRANCE_TYPE_ID,NUMERIC
BALANCE_TYPE_CODE,STRING
REFERENCE_DATE,DATETIME
COMPLETED_DATE,DATETIME
PERIOD_NAME,STRING
PACKET_ID,NUMERIC
COMPLETION_ACCT_SEQ_ASSIGN_ID,NUMERIC
CLOSE_ACCT_SEQ_ASSIGN_ID,NUMERIC
DOC_CATEGORY_CODE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
GROUP_ID,NUMERIC
DOC_SEQUENCE_VERSION_ID,NUMERIC
DOC_SEQUENCE_ASSIGN_ID,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
REQUEST_ID,NUMERIC
UPG_BATCH_ID,NUMERIC
UPG_SOURCE_APPLICATION_ID,NUMERIC
UPG_VALID_FLAG,STRING
ZERO_AMOUNT_FLAG,STRING
PARENT_AE_HEADER_ID,NUMERIC
PARENT_AE_LINE_NUM,NUMERIC
ACCRUAL_REVERSAL_FLAG,STRING
MERGE_EVENT_ID,NUMERIC
NEED_BAL_FLAG,STRING
