fullname,type
AE_HEADER_ID,NUMERIC
AE_LINE_NUM,NUMERIC
APPLICATION_ID,NUMERIC
CODE_COMBINATION_ID,NUMERIC
GL_TRANSFER_MODE_CODE,STRING
GL_SL_LINK_ID,NUMERIC
ACCOUNTING_CLASS_CODE,STRING
PARTY_ID,NUMERIC
PARTY_SITE_ID,NUMERIC
PARTY_TYPE_CODE,STRING
ENTERED_DR,NUMERIC
ENTERED_CR,NUMERIC
ACCOUNTED_DR,NUMERIC
ACCOUNTED_CR,NUMERIC
DESCRIPTION,STRING
STATISTICAL_AMOUNT,NUMERIC
CURRENCY_CODE,STRING
CURRENCY_CONVERSION_DATE,DATETIME
CURRENCY_CONVERSION_RATE,NUMERIC
CURRENCY_CONVERSION_TYPE,STRING
USSGL_TRANSACTION_CODE,STRING
JGZZ_RECON_REF,STRING
CONTROL_BALANCE_FLAG,STRING
ANALYTICAL_BALANCE_FLAG,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
GL_SL_LINK_TABLE,STRING
DISPLAYED_LINE_NUMBER,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
REQUEST_ID,NUMERIC
UPG_BATCH_ID,NUMERIC
UPG_TAX_REFERENCE_ID1,NUMERIC
UPG_TAX_REFERENCE_ID2,NUMERIC
UPG_TAX_REFERENCE_ID3,NUMERIC
UNROUNDED_ACCOUNTED_DR,NUMERIC
UNROUNDED_ACCOUNTED_CR,NUMERIC
GAIN_OR_LOSS_FLAG,STRING
UNROUNDED_ENTERED_DR,NUMERIC
UNROUNDED_ENTERED_CR,NUMERIC
SUBSTITUTED_CCID,NUMERIC
BUSINESS_CLASS_CODE,STRING
MPA_ACCRUAL_ENTRY_FLAG,STRING
ENCUMBRANCE_TYPE_ID,NUMERIC
FUNDS_STATUS_CODE,STRING
MERGE_CODE_COMBINATION_ID,NUMERIC
MERGE_PARTY_ID,NUMERIC
MERGE_PARTY_SITE_ID,NUMERIC
ACCOUNTING_DATE,DATETIME
LEDGER_ID,NUMERIC
SOURCE_TABLE,STRING
SOURCE_ID,NUMERIC
ACCOUNT_OVERLAY_SOURCE_ID,NUMERIC
