SourceField,DataType
APPLICATION_ID,NUMERIC
EVENT_ID,NUMERIC
AE_HEADER_ID,NUMERIC
AE_LINE_NUM,NUMERIC
SOURCE_DISTRIBUTION_TYPE,STRING
SOURCE_DISTRIBUTION_ID_CHAR_1,STRING
SOURCE_DISTRIBUTION_ID_CHAR_2,STRING
SOURCE_DISTRIBUTION_ID_CHAR_3,STRING
SOURCE_DISTRIBUTION_ID_CHAR_4,STRING
SOURCE_DISTRIBUTION_ID_CHAR_5,STRING
SOURCE_DISTRIBUTION_ID_NUM_1,NUMERIC
SOURCE_DISTRIBUTION_ID_NUM_2,NUMERIC
SOURCE_DISTRIBUTION_ID_NUM_3,NUMERIC
SOURCE_DISTRIBUTION_ID_NUM_4,NUMERIC
SOURCE_DISTRIBUTION_ID_NUM_5,NUMERIC
TAX_LINE_REF_ID,NUMERIC
TAX_SUMMARY_LINE_REF_ID,NUMERIC
TAX_REC_NREC_DIST_REF_ID,NUMERIC
STATISTICAL_AMOUNT,NUMERIC
REF_AE_HEADER_ID,NUMERIC
REF_TEMP_LINE_NUM,NUMERIC
ACCOUNTING_LINE_CODE,STRING
ACCOUNTING_LINE_TYPE_CODE,STRING
MERGE_DUPLICATE_CODE,STRING
TEMP_LINE_NUM,NUMERIC
REF_EVENT_ID,NUMERIC
LINE_DEFINITION_OWNER_CODE,STRING
LINE_DEFINITION_CODE,STRING
EVENT_CLASS_CODE,STRING
EVENT_TYPE_CODE,STRING
UPG_BATCH_ID,NUMERIC
CALCULATE_ACCTD_AMTS_FLAG,STRING
CALCULATE_G_L_AMTS_FLAG,STRING
ROUNDING_CLASS_CODE,STRING
DOCUMENT_ROUNDING_LEVEL,STRING
UNROUNDED_ENTERED_DR,NUMERIC
UNROUNDED_ENTERED_CR,NUMERIC
DOC_ROUNDING_ENTERED_AMT,NUMERIC
DOC_ROUNDING_ACCTD_AMT,NUMERIC
UNROUNDED_ACCOUNTED_CR,NUMERIC
UNROUNDED_ACCOUNTED_DR,NUMERIC
APPLIED_TO_APPLICATION_ID,NUMERIC
APPLIED_TO_ENTITY_CODE,STRING
APPLIED_TO_ENTITY_ID,NUMERIC
APPLIED_TO_SOURCE_ID_NUM_1,NUMERIC
APPLIED_TO_SOURCE_ID_NUM_2,NUMERIC
APPLIED_TO_SOURCE_ID_NUM_3,NUMERIC
APPLIED_TO_SOURCE_ID_NUM_4,NUMERIC
APPLIED_TO_SOURCE_ID_CHAR_1,STRING
APPLIED_TO_SOURCE_ID_CHAR_2,STRING
APPLIED_TO_SOURCE_ID_CHAR_3,STRING
APPLIED_TO_SOURCE_ID_CHAR_4,STRING
APPLIED_TO_DISTRIBUTION_TYPE,STRING
APPLIED_TO_DIST_ID_NUM_1,NUMERIC
APPLIED_TO_DIST_ID_NUM_2,NUMERIC
APPLIED_TO_DIST_ID_NUM_3,NUMERIC
APPLIED_TO_DIST_ID_NUM_4,NUMERIC
APPLIED_TO_DIST_ID_NUM_5,NUMERIC
APPLIED_TO_DIST_ID_CHAR_1,STRING
APPLIED_TO_DIST_ID_CHAR_2,STRING
APPLIED_TO_DIST_ID_CHAR_3,STRING
APPLIED_TO_DIST_ID_CHAR_4,STRING
APPLIED_TO_DIST_ID_CHAR_5,STRING
ALLOC_TO_APPLICATION_ID,NUMERIC
ALLOC_TO_ENTITY_CODE,STRING
ALLOC_TO_SOURCE_ID_NUM_1,NUMERIC
ALLOC_TO_SOURCE_ID_NUM_2,NUMERIC
ALLOC_TO_SOURCE_ID_NUM_3,NUMERIC
ALLOC_TO_SOURCE_ID_NUM_4,NUMERIC
ALLOC_TO_SOURCE_ID_CHAR_1,STRING
ALLOC_TO_SOURCE_ID_CHAR_2,STRING
ALLOC_TO_SOURCE_ID_CHAR_3,STRING
ALLOC_TO_SOURCE_ID_CHAR_4,STRING
ALLOC_TO_DISTRIBUTION_TYPE,STRING
ALLOC_TO_DIST_ID_NUM_1,NUMERIC
ALLOC_TO_DIST_ID_NUM_2,NUMERIC
ALLOC_TO_DIST_ID_NUM_3,NUMERIC
ALLOC_TO_DIST_ID_NUM_4,NUMERIC
ALLOC_TO_DIST_ID_NUM_5,NUMERIC
ALLOC_TO_DIST_ID_CHAR_1,STRING
ALLOC_TO_DIST_ID_CHAR_2,STRING
ALLOC_TO_DIST_ID_CHAR_3,STRING
ALLOC_TO_DIST_ID_CHAR_4,STRING
ALLOC_TO_DIST_ID_CHAR_5,STRING
GAIN_OR_LOSS_REF,STRING
