SourceField,DataType
PO_DISTRIBUTION_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
PO_HEADER_ID,INTEGER
PO_LINE_ID,INTEGER
LINE_LOCATION_ID,INTEGER
SET_OF_BOOKS_ID,INTEGER
CODE_COMBINATION_ID,INTEGER
QUANTITY_ORDERED,FLOAT
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
PO_RELEASE_ID,INTEGER
QUANTITY_DELIVERED,FLOAT
QUANTITY_BILLED,FLOAT
QUANTITY_CANCELLED,FLOAT
REQ_HEADER_REFERENCE_NUM,STRING
REQ_LINE_REFERENCE_NUM,INTEGER
REQ_DISTRIBUTION_ID,INTEGER
DELIVER_TO_LOCATION_ID,INTEGER
DELIVER_TO_PERSON_ID,INTEGER
RATE_DATE,TIMESTAMP
RATE,FLOAT
AMOUNT_BILLED,FLOAT
ACCRUED_FLAG,BOOLEAN
ENCUMBERED_FLAG,BOOLEAN
ENCUMBERED_AMOUNT,STRING
UNENCUMBERED_QUANTITY,STRING
UNENCUMBERED_AMOUNT,STRING
FAILED_FUNDS_LOOKUP_CODE,STRING
GL_ENCUMBERED_DATE,STRING
GL_ENCUMBERED_PERIOD_NAME,STRING
GL_CANCELLED_DATE,TIMESTAMP
DESTINATION_TYPE_CODE,STRING
DESTINATION_ORGANIZATION_ID,INTEGER
DESTINATION_SUBINVENTORY,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
WIP_ENTITY_ID,STRING
WIP_OPERATION_SEQ_NUM,STRING
WIP_RESOURCE_SEQ_NUM,STRING
WIP_REPETITIVE_SCHEDULE_ID,STRING
WIP_LINE_ID,STRING
BOM_RESOURCE_ID,STRING
BUDGET_ACCOUNT_ID,INTEGER
ACCRUAL_ACCOUNT_ID,INTEGER
VARIANCE_ACCOUNT_ID,INTEGER
PREVENT_ENCUMBRANCE_FLAG,BOOLEAN
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
DESTINATION_CONTEXT,STRING
DISTRIBUTION_NUM,INTEGER
SOURCE_DISTRIBUTION_ID,STRING
REQUEST_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
PROJECT_ID,STRING
TASK_ID,STRING
EXPENDITURE_TYPE,STRING
PROJECT_ACCOUNTING_CONTEXT,BOOLEAN
EXPENDITURE_ORGANIZATION_ID,STRING
GL_CLOSED_DATE,STRING
ACCRUE_ON_RECEIPT_FLAG,BOOLEAN
EXPENDITURE_ITEM_DATE,STRING
ORG_ID,INTEGER
KANBAN_CARD_ID,STRING
AWARD_ID,STRING
MRC_RATE_DATE,STRING
MRC_RATE,STRING
MRC_ENCUMBERED_AMOUNT,STRING
