SourceField,DataType
PO_HEADER_ID,INTEGER
AGENT_ID,INTEGER
TYPE_LOOKUP_CODE,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
SEGMENT1,INTEGER
SUMMARY_FLAG,BOOLEAN
ENABLED_FLAG,BOOLEAN
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
START_DATE_ACTIVE,STRING
END_DATE_ACTIVE,STRING
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
VENDOR_ID,INTEGER
VENDOR_SITE_ID,INTEGER
VENDOR_CONTACT_ID,INTEGER
SHIP_TO_LOCATION_ID,INTEGER
BILL_TO_LOCATION_ID,INTEGER
TERMS_ID,INTEGER
SHIP_VIA_LOOKUP_CODE,STRING
FOB_LOOKUP_CODE,STRING
FREIGHT_TERMS_LOOKUP_CODE,STRING
STATUS_LOOKUP_CODE,STRING
CURRENCY_CODE,STRING
RATE_TYPE,STRING
RATE_DATE,TIMESTAMP
RATE,FLOAT
FROM_HEADER_ID,INTEGER
FROM_TYPE_LOOKUP_CODE,STRING
START_DATE,STRING
END_DATE,STRING
BLANKET_TOTAL_AMOUNT,INTEGER
AUTHORIZATION_STATUS,STRING
REVISION_NUM,INTEGER
REVISED_DATE,TIMESTAMP
APPROVED_FLAG,STRING
APPROVED_DATE,TIMESTAMP
AMOUNT_LIMIT,INTEGER
MIN_RELEASE_AMOUNT,INTEGER
NOTE_TO_AUTHORIZER,STRING
NOTE_TO_VENDOR,STRING
NOTE_TO_RECEIVER,STRING
PRINT_COUNT,INTEGER
PRINTED_DATE,TIMESTAMP
VENDOR_ORDER_NUM,STRING
CONFIRMING_ORDER_FLAG,BOOLEAN
COMMENTS,STRING
REPLY_DATE,STRING
REPLY_METHOD_LOOKUP_CODE,STRING
RFQ_CLOSE_DATE,STRING
QUOTE_TYPE_LOOKUP_CODE,STRING
QUOTATION_CLASS_CODE,STRING
QUOTE_WARNING_DELAY_UNIT,STRING
QUOTE_WARNING_DELAY,STRING
QUOTE_VENDOR_QUOTE_NUMBER,STRING
ACCEPTANCE_REQUIRED_FLAG,BOOLEAN
ACCEPTANCE_DUE_DATE,STRING
CLOSED_DATE,TIMESTAMP
USER_HOLD_FLAG,BOOLEAN
APPROVAL_REQUIRED_FLAG,STRING
CANCEL_FLAG,BOOLEAN
FIRM_STATUS_LOOKUP_CODE,BOOLEAN
FIRM_DATE,STRING
FROZEN_FLAG,BOOLEAN
SUPPLY_AGREEMENT_FLAG,BOOLEAN
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CLOSED_CODE,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
REQUEST_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
ORG_ID,INTEGER
EDI_PROCESSED_FLAG,STRING
EDI_PROCESSED_STATUS,STRING
INTERFACE_SOURCE_CODE,STRING
REFERENCE_NUM,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
