SourceField,DataType
PO_LINE_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
PO_HEADER_ID,INTEGER
LINE_TYPE_ID,INTEGER
LINE_NUM,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
ITEM_ID,INTEGER
ITEM_REVISION,STRING
CATEGORY_ID,INTEGER
ITEM_DESCRIPTION,STRING
UNIT_MEAS_LOOKUP_CODE,STRING
QUANTITY_COMMITTED,STRING
COMMITTED_AMOUNT,STRING
ALLOW_PRICE_OVERRIDE_FLAG,BOOLEAN
NOT_TO_EXCEED_PRICE,STRING
LIST_PRICE_PER_UNIT,FLOAT
UNIT_PRICE,FLOAT
QUANTITY,FLOAT
UN_NUMBER_ID,STRING
HAZARD_CLASS_ID,STRING
NOTE_TO_VENDOR,STRING
FROM_HEADER_ID,STRING
FROM_LINE_ID,STRING
MIN_ORDER_QUANTITY,STRING
MAX_ORDER_QUANTITY,STRING
QTY_RCV_TOLERANCE,FLOAT
OVER_TOLERANCE_ERROR_FLAG,STRING
MARKET_PRICE,FLOAT
UNORDERED_FLAG,BOOLEAN
CLOSED_FLAG,BOOLEAN
USER_HOLD_FLAG,BOOLEAN
CANCEL_FLAG,BOOLEAN
CANCELLED_BY,INTEGER
CANCEL_DATE,TIMESTAMP
CANCEL_REASON,STRING
FIRM_STATUS_LOOKUP_CODE,BOOLEAN
FIRM_DATE,STRING
VENDOR_PRODUCT_NUM,STRING
CONTRACT_NUM,STRING
TAXABLE_FLAG,BOOLEAN
TAX_NAME,STRING
TYPE_1099,STRING
CAPITAL_EXPENSE_FLAG,BOOLEAN
NEGOTIATED_BY_PREPARER_FLAG,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
