SourceField,DataType
REQUISITION_HEADER_ID,INTEGER
PREPARER_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
SEGMENT1,STRING
SUMMARY_FLAG,BOOLEAN
ENABLED_FLAG,BOOLEAN
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
START_DATE_ACTIVE,STRING
END_DATE_ACTIVE,STRING
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
DESCRIPTION,STRING
AUTHORIZATION_STATUS,STRING
NOTE_TO_AUTHORIZER,STRING
TYPE_LOOKUP_CODE,STRING
TRANSFERRED_TO_OE_FLAG,BOOLEAN
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ON_LINE_FLAG,STRING
PRELIMINARY_RESEARCH_FLAG,STRING
RESEARCH_COMPLETE_FLAG,STRING
PREPARER_FINISHED_FLAG,STRING
PREPARER_FINISHED_DATE,STRING
AGENT_RETURN_FLAG,STRING
AGENT_RETURN_NOTE,STRING
CANCEL_FLAG,BOOLEAN
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,STRING
PROGRAM_ID,STRING
PROGRAM_UPDATE_DATE,STRING
INTERFACE_SOURCE_CODE,STRING
INTERFACE_SOURCE_LINE_ID,STRING
CLOSED_CODE,STRING
ORG_ID,INTEGER
WF_ITEM_TYPE,STRING
WF_ITEM_KEY,STRING
EMERGENCY_PO_NUM,STRING
PCARD_ID,STRING
APPS_SOURCE_CODE,STRING
CBC_ACCOUNTING_DATE,STRING
CHANGE_PENDING_FLAG,BOOLEAN
ACTIVE_SHOPPING_CART_FLAG,BOOLEAN
CONTRACTOR_STATUS,STRING
CONTRACTOR_REQUISITION_FLAG,STRING
SUPPLIER_NOTIFIED_FLAG,STRING
EMERGENCY_PO_ORG_ID,STRING
APPROVED_DATE,TIMESTAMP
TAX_ATTRIBUTE_UPDATE_CODE,STRING
FIRST_APPROVER_ID,STRING
FIRST_POSITION_ID,STRING
FEDERAL_FLAG,STRING
CONFORMED_HEADER_ID,STRING
REVISION_NUM,STRING
AMENDMENT_TYPE,STRING
AMENDMENT_STATUS,STRING
AMENDMENT_REASON,STRING
UDA_TEMPLATE_ID,STRING
UDA_TEMPLATE_DATE,STRING
CLM_ISSUING_OFFICE,STRING
CLM_COTR_OFFICE,STRING
CLM_COTR_CONTACT,STRING
CLM_PRIORITY_CODE,STRING
SUGGESTED_AWARD_NO,STRING
