SourceField,DataType
REQUISITION_LINE_ID,INTEGER
REQUISITION_HEADER_ID,INTEGER
LINE_NUM,INTEGER
LINE_TYPE_ID,INTEGER
CATEGORY_ID,INTEGER
ITEM_DESCRIPTION,STRING
UNIT_MEAS_LOOKUP_CODE,STRING
UNIT_PRICE,INTEGER
QUANTITY,INTEGER
DELIVER_TO_LOCATION_ID,INTEGER
TO_PERSON_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
SOURCE_TYPE_CODE,STRING
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
ITEM_ID,INTEGER
ITEM_REVISION,STRING
QUANTITY_DELIVERED,INTEGER
SUGGESTED_BUYER_ID,INTEGER
ENCUMBERED_FLAG,BOOLEAN
RFQ_REQUIRED_FLAG,BOOLEAN
NEED_BY_DATE,TIMESTAMP
LINE_LOCATION_ID,INTEGER
MODIFIED_BY_AGENT_FLAG,BOOLEAN
PARENT_REQ_LINE_ID,STRING
JUSTIFICATION,STRING
NOTE_TO_AGENT,STRING
NOTE_TO_RECEIVER,STRING
PURCHASING_AGENT_ID,STRING
DOCUMENT_TYPE_CODE,STRING
BLANKET_PO_HEADER_ID,INTEGER
BLANKET_PO_LINE_NUM,INTEGER
CURRENCY_CODE,STRING
RATE_TYPE,STRING
RATE_DATE,TIMESTAMP
RATE,INTEGER
CURRENCY_UNIT_PRICE,INTEGER
SUGGESTED_VENDOR_NAME,STRING
SUGGESTED_VENDOR_LOCATION,STRING
SUGGESTED_VENDOR_CONTACT,STRING
SUGGESTED_VENDOR_PHONE,STRING
SUGGESTED_VENDOR_PRODUCT_CODE,STRING
UN_NUMBER_ID,STRING
HAZARD_CLASS_ID,STRING
MUST_USE_SUGG_VENDOR_FLAG,STRING
REFERENCE_NUM,INTEGER
ON_RFQ_FLAG,BOOLEAN
URGENT_FLAG,BOOLEAN
CANCEL_FLAG,BOOLEAN
SOURCE_ORGANIZATION_ID,STRING
SOURCE_SUBINVENTORY,STRING
DESTINATION_TYPE_CODE,STRING
DESTINATION_ORGANIZATION_ID,INTEGER
DESTINATION_SUBINVENTORY,STRING
QUANTITY_CANCELLED,INTEGER
CANCEL_DATE,TIMESTAMP
CANCEL_REASON,STRING
CLOSED_CODE,STRING
AGENT_RETURN_NOTE,STRING
