SourceField,DataType
DISTRIBUTION_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
REQUISITION_LINE_ID,INTEGER
SET_OF_BOOKS_ID,INTEGER
CODE_COMBINATION_ID,INTEGER
REQ_LINE_QUANTITY,FLOAT
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
ENCUMBERED_FLAG,BOOLEAN
GL_ENCUMBERED_DATE,STRING
GL_ENCUMBERED_PERIOD_NAME,STRING
GL_CANCELLED_DATE,STRING
FAILED_FUNDS_LOOKUP_CODE,STRING
ENCUMBERED_AMOUNT,INTEGER
BUDGET_ACCOUNT_ID,STRING
ACCRUAL_ACCOUNT_ID,INTEGER
VARIANCE_ACCOUNT_ID,INTEGER
PREVENT_ENCUMBRANCE_FLAG,BOOLEAN
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,INTEGER
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,STRING
PROGRAM_ID,STRING
PROGRAM_UPDATE_DATE,STRING
PROJECT_ID,INTEGER
TASK_ID,INTEGER
EXPENDITURE_TYPE,STRING
PROJECT_ACCOUNTING_CONTEXT,BOOLEAN
EXPENDITURE_ORGANIZATION_ID,INTEGER
GL_CLOSED_DATE,STRING
SOURCE_REQ_DISTRIBUTION_ID,INTEGER
DISTRIBUTION_NUM,INTEGER
PROJECT_RELATED_FLAG,BOOLEAN
EXPENDITURE_ITEM_DATE,TIMESTAMP
ORG_ID,INTEGER
ALLOCATION_TYPE,STRING
ALLOCATION_VALUE,FLOAT
AWARD_ID,STRING
END_ITEM_UNIT_NUMBER,STRING
RECOVERABLE_TAX,FLOAT
NONRECOVERABLE_TAX,FLOAT
RECOVERY_RATE,INTEGER
TAX_RECOVERY_OVERRIDE_FLAG,BOOLEAN
OKE_CONTRACT_LINE_ID,STRING
OKE_CONTRACT_DELIVERABLE_ID,STRING
REQ_LINE_AMOUNT,STRING
REQ_LINE_CURRENCY_AMOUNT,STRING
REQ_AWARD_ID,STRING
EVENT_ID,STRING
