SourceField,DataType
BATCH_SOURCE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
NAME,STRING
ORG_ID,NUMERIC
DESCRIPTION,STRING
STATUS,STRING
LAST_BATCH_NUM,NUMERIC
DEFAULT_INV_TRX_TYPE,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ACCOUNTING_FLEXFIELD_RULE,STRING
ACCOUNTING_RULE_RULE,STRING
AGREEMENT_RULE,STRING
AUTO_BATCH_NUMBERING_FLAG,STRING
AUTO_TRX_NUMBERING_FLAG,STRING
BATCH_SOURCE_TYPE,STRING
BILL_ADDRESS_RULE,STRING
BILL_CONTACT_RULE,STRING
BILL_CUSTOMER_RULE,STRING
CREATE_CLEARING_FLAG,STRING
CUST_TRX_TYPE_RULE,STRING
DERIVE_DATE_FLAG,STRING
END_DATE,DATETIME
FOB_POINT_RULE,STRING
GL_DATE_PERIOD_RULE,STRING
INVALID_LINES_RULE,STRING
INVALID_TAX_RATE_RULE,STRING
INVENTORY_ITEM_RULE,STRING
INVOICING_RULE_RULE,STRING
MEMO_REASON_RULE,STRING
REV_ACC_ALLOCATION_RULE,STRING
SALESPERSON_RULE,STRING
SALES_CREDIT_RULE,STRING
SALES_CREDIT_TYPE_RULE,STRING
SALES_TERRITORY_RULE,STRING
SHIP_ADDRESS_RULE,STRING
SHIP_CONTACT_RULE,STRING
SHIP_CUSTOMER_RULE,STRING
SHIP_VIA_RULE,STRING
SOLD_CUSTOMER_RULE,STRING
START_DATE,DATETIME
TERM_RULE,STRING
UNIT_OF_MEASURE_RULE,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CUSTOMER_BANK_ACCOUNT_RULE,STRING
MEMO_LINE_RULE,STRING
RECEIPT_METHOD_RULE,STRING
RELATED_DOCUMENT_RULE,STRING
ALLOW_SALES_CREDIT_FLAG,STRING
GROUPING_RULE_ID,NUMERIC
CREDIT_MEMO_BATCH_SOURCE_ID,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
COPY_DOC_NUMBER_FLAG,STRING
DEFAULT_REFERENCE,STRING
COPY_INV_TIDFF_TO_CM_FLAG,STRING
RECEIPT_HANDLING_OPTION,STRING
ALLOW_DUPLICATE_TRX_NUM_FLAG,STRING
LEGAL_ENTITY_ID,NUMERIC
GEN_LINE_LEVEL_BAL_FLAG,STRING
PAYMENT_DET_DEF_HIERARCHY,STRING
