SourceField,DataType
CUSTOMER_TRX_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
TRX_NUMBER,STRING
CUST_TRX_TYPE_ID,INTEGER
TRX_DATE,TIMESTAMP
SET_OF_BOOKS_ID,INTEGER
BILL_TO_CONTACT_ID,STRING
BATCH_ID,INTEGER
BATCH_SOURCE_ID,INTEGER
REASON_CODE,STRING
SOLD_TO_CUSTOMER_ID,INTEGER
SOLD_TO_CONTACT_ID,STRING
SOLD_TO_SITE_USE_ID,STRING
BILL_TO_CUSTOMER_ID,INTEGER
BILL_TO_SITE_USE_ID,INTEGER
SHIP_TO_CUSTOMER_ID,STRING
SHIP_TO_CONTACT_ID,STRING
SHIP_TO_SITE_USE_ID,STRING
SHIPMENT_ID,STRING
REMIT_TO_ADDRESS_ID,INTEGER
TERM_ID,INTEGER
TERM_DUE_DATE,TIMESTAMP
PREVIOUS_CUSTOMER_TRX_ID,INTEGER
PRIMARY_SALESREP_ID,STRING
PRINTING_ORIGINAL_DATE,TIMESTAMP
PRINTING_LAST_PRINTED,TIMESTAMP
PRINTING_OPTION,STRING
PRINTING_COUNT,INTEGER
PRINTING_PENDING,BOOLEAN
PURCHASE_ORDER,STRING
PURCHASE_ORDER_REVISION,STRING
PURCHASE_ORDER_DATE,STRING
CUSTOMER_REFERENCE,STRING
CUSTOMER_REFERENCE_DATE,TIMESTAMP
COMMENTS,STRING
INTERNAL_NOTES,STRING
EXCHANGE_RATE_TYPE,STRING
EXCHANGE_DATE,TIMESTAMP
EXCHANGE_RATE,FLOAT
TERRITORY_ID,STRING
INVOICE_CURRENCY_CODE,STRING
INITIAL_CUSTOMER_TRX_ID,STRING
AGREEMENT_ID,STRING
END_DATE_COMMITMENT,STRING
START_DATE_COMMITMENT,STRING
LAST_PRINTED_SEQUENCE_NUM,INTEGER
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,DATE
ATTRIBUTE10,STRING
ORIG_SYSTEM_BATCH_NAME,STRING
POST_REQUEST_ID,STRING
REQUEST_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
FINANCE_CHARGES,STRING
COMPLETE_FLAG,BOOLEAN
POSTING_CONTROL_ID,INTEGER
BILL_TO_ADDRESS_ID,STRING
RA_POST_LOOP_NUMBER,STRING
SHIP_TO_ADDRESS_ID,STRING
CREDIT_METHOD_FOR_RULES,STRING
CREDIT_METHOD_FOR_INSTALLMENTS,STRING
RECEIPT_METHOD_ID,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
RELATED_CUSTOMER_TRX_ID,STRING
INVOICING_RULE_ID,STRING
SHIP_VIA,STRING
SHIP_DATE_ACTUAL,STRING
WAYBILL_NUMBER,STRING
FOB_POINT,STRING
CUSTOMER_BANK_ACCOUNT_ID,STRING
INTERFACE_HEADER_ATTRIBUTE1,STRING
INTERFACE_HEADER_ATTRIBUTE2,INTEGER
INTERFACE_HEADER_ATTRIBUTE3,STRING
INTERFACE_HEADER_ATTRIBUTE4,STRING
INTERFACE_HEADER_ATTRIBUTE5,STRING
INTERFACE_HEADER_ATTRIBUTE6,STRING
INTERFACE_HEADER_ATTRIBUTE7,STRING
INTERFACE_HEADER_ATTRIBUTE8,STRING
INTERFACE_HEADER_CONTEXT,STRING
DEFAULT_USSGL_TRX_CODE_CONTEXT,STRING
INTERFACE_HEADER_ATTRIBUTE10,STRING
INTERFACE_HEADER_ATTRIBUTE11,STRING
INTERFACE_HEADER_ATTRIBUTE12,STRING
INTERFACE_HEADER_ATTRIBUTE13,STRING
INTERFACE_HEADER_ATTRIBUTE14,STRING
INTERFACE_HEADER_ATTRIBUTE15,STRING
INTERFACE_HEADER_ATTRIBUTE9,STRING
DEFAULT_USSGL_TRANSACTION_CODE,STRING
RECURRED_FROM_TRX_NUMBER,INTEGER
STATUS_TRX,STRING
DOC_SEQUENCE_ID,INTEGER
DOC_SEQUENCE_VALUE,INTEGER
PAYING_CUSTOMER_ID,INTEGER
PAYING_SITE_USE_ID,INTEGER
RELATED_BATCH_SOURCE_ID,STRING
DEFAULT_TAX_EXEMPT_FLAG,STRING
CREATED_FROM,STRING
ORG_ID,INTEGER
WH_UPDATE_DATE,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
