SourceField,DataType
CUSTOMER_TRX_LINE_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CUSTOMER_TRX_ID,INTEGER
LINE_NUMBER,INTEGER
SET_OF_BOOKS_ID,INTEGER
REASON_CODE,STRING
INVENTORY_ITEM_ID,STRING
DESCRIPTION,STRING
PREVIOUS_CUSTOMER_TRX_ID,INTEGER
PREVIOUS_CUSTOMER_TRX_LINE_ID,INTEGER
QUANTITY_ORDERED,STRING
QUANTITY_CREDITED,FLOAT
QUANTITY_INVOICED,FLOAT
UNIT_STANDARD_PRICE,STRING
UNIT_SELLING_PRICE,FLOAT
SALES_ORDER,STRING
SALES_ORDER_REVISION,STRING
SALES_ORDER_LINE,STRING
SALES_ORDER_DATE,STRING
ACCOUNTING_RULE_ID,STRING
ACCOUNTING_RULE_DURATION,STRING
LINE_TYPE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
RULE_START_DATE,STRING
INITIAL_CUSTOMER_TRX_LINE_ID,STRING
INTERFACE_LINE_CONTEXT,STRING
INTERFACE_LINE_ATTRIBUTE1,STRING
INTERFACE_LINE_ATTRIBUTE2,STRING
INTERFACE_LINE_ATTRIBUTE3,STRING
INTERFACE_LINE_ATTRIBUTE4,STRING
INTERFACE_LINE_ATTRIBUTE5,STRING
INTERFACE_LINE_ATTRIBUTE6,STRING
INTERFACE_LINE_ATTRIBUTE7,STRING
INTERFACE_LINE_ATTRIBUTE8,STRING
SALES_ORDER_SOURCE,STRING
TAXABLE_FLAG,STRING
EXTENDED_AMOUNT,FLOAT
REVENUE_AMOUNT,FLOAT
AUTORULE_COMPLETE_FLAG,STRING
LINK_TO_CUST_TRX_LINE_ID,INTEGER
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
TAX_PRECEDENCE,STRING
TAX_RATE,INTEGER
ITEM_EXCEPTION_RATE_ID,STRING
TAX_EXEMPTION_ID,STRING
MEMO_LINE_ID,STRING
AUTORULE_DURATION_PROCESSED,STRING
UOM_CODE,STRING
DEFAULT_USSGL_TRANSACTION_CODE,STRING
DEFAULT_USSGL_TRX_CODE_CONTEXT,STRING
INTERFACE_LINE_ATTRIBUTE10,STRING
INTERFACE_LINE_ATTRIBUTE11,STRING
INTERFACE_LINE_ATTRIBUTE12,STRING
INTERFACE_LINE_ATTRIBUTE13,STRING
INTERFACE_LINE_ATTRIBUTE14,STRING
INTERFACE_LINE_ATTRIBUTE15,STRING
INTERFACE_LINE_ATTRIBUTE9,STRING
VAT_TAX_ID,INTEGER
AUTOTAX,BOOLEAN
LAST_PERIOD_TO_CREDIT,STRING
ITEM_CONTEXT,STRING
TAX_EXEMPT_FLAG,STRING
TAX_EXEMPT_NUMBER,STRING
TAX_EXEMPT_REASON_CODE,STRING
TAX_VENDOR_RETURN_CODE,STRING
SALES_TAX_ID,STRING
LOCATION_SEGMENT_ID,STRING
MOVEMENT_ID,STRING
ORG_ID,INTEGER
WH_UPDATE_DATE,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GROSS_UNIT_SELLING_PRICE,STRING
GROSS_EXTENDED_AMOUNT,STRING
AMOUNT_INCLUDES_TAX_FLAG,BOOLEAN
TAXABLE_AMOUNT,FLOAT
WAREHOUSE_ID,STRING
TRANSLATED_DESCRIPTION,STRING
EXTENDED_ACCTD_AMOUNT,STRING
BR_REF_CUSTOMER_TRX_ID,STRING
BR_REF_PAYMENT_SCHEDULE_ID,STRING
BR_ADJUSTMENT_ID,STRING
MRC_EXTENDED_ACCTD_AMOUNT,STRING
PAYMENT_SET_ID,STRING
CONTRACT_LINE_ID,STRING
SOURCE_DATA_KEY1,STRING
SOURCE_DATA_KEY2,STRING
SOURCE_DATA_KEY3,STRING
SOURCE_DATA_KEY4,STRING
SOURCE_DATA_KEY5,STRING
INVOICED_LINE_ACCTG_LEVEL,STRING
OVERRIDE_AUTO_ACCOUNTING_FLAG,STRING
RULE_END_DATE,STRING
SHIP_TO_CUSTOMER_ID,STRING
SHIP_TO_ADDRESS_ID,STRING
SHIP_TO_SITE_USE_ID,STRING
SHIP_TO_CONTACT_ID,STRING
HISTORICAL_FLAG,BOOLEAN
TAX_LINE_ID,INTEGER
LINE_RECOVERABLE,FLOAT
TAX_RECOVERABLE,FLOAT
TAX_CLASSIFICATION_CODE,STRING
AMOUNT_DUE_REMAINING,STRING
ACCTD_AMOUNT_DUE_REMAINING,STRING
AMOUNT_DUE_ORIGINAL,STRING
ACCTD_AMOUNT_DUE_ORIGINAL,STRING
CHRG_AMOUNT_REMAINING,STRING
CHRG_ACCTD_AMOUNT_REMAINING,STRING
FRT_ADJ_REMAINING,STRING
FRT_ADJ_ACCTD_REMAINING,STRING
FRT_ED_AMOUNT,STRING
FRT_ED_ACCTD_AMOUNT,STRING
FRT_UNED_AMOUNT,STRING
FRT_UNED_ACCTD_AMOUNT,STRING
DEFERRAL_EXCLUSION_FLAG,STRING
PAYMENT_TRXN_EXTENSION_ID,STRING
INTEREST_LINE_ID,STRING
