SourceField,DataType
CUST_TRX_TYPE_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
POST_TO_GL,BOOLEAN
ACCOUNTING_AFFECT_FLAG,BOOLEAN
CREDIT_MEMO_TYPE_ID,INTEGER
STATUS,STRING
NAME,STRING
DESCRIPTION,STRING
TYPE,STRING
DEFAULT_TERM,INTEGER
DEFAULT_PRINTING_OPTION,STRING
DEFAULT_STATUS,STRING
GL_ID_REV,INTEGER
GL_ID_FREIGHT,STRING
GL_ID_REC,INTEGER
SUBSEQUENT_TRX_TYPE_ID,STRING
SET_OF_BOOKS_ID,INTEGER
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ALLOW_FREIGHT_FLAG,BOOLEAN
ALLOW_OVERAPPLICATION_FLAG,BOOLEAN
CREATION_SIGN,STRING
END_DATE,STRING
GL_ID_CLEARING,STRING
GL_ID_TAX,INTEGER
GL_ID_UNBILLED,STRING
GL_ID_UNEARNED,STRING
START_DATE,TIMESTAMP
TAX_CALCULATION_FLAG,BOOLEAN
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
NATURAL_APPLICATION_ONLY_FLAG,BOOLEAN
ORG_ID,INTEGER
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
RULE_SET_ID,INTEGER
SIGNED_FLAG,BOOLEAN
DRAWEE_ISSUED_FLAG,BOOLEAN
MAGNETIC_FORMAT_CODE,STRING
FORMAT_PROGRAM_ID,STRING
GL_ID_UNPAID_REC,STRING
GL_ID_REMITTANCE,STRING
GL_ID_FACTOR,STRING
ALLOCATE_TAX_FREIGHT,STRING
LEGAL_ENTITY_ID,INTEGER
EXCLUDE_FROM_LATE_CHARGES,BOOLEAN
ADJ_POST_TO_GL,BOOLEAN
