SourceField,DataType
ENTITY_ID,NUMERIC
APPLICATION_ID,NUMERIC
LEGAL_ENTITY_ID,NUMERIC
ENTITY_CODE,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
SOURCE_ID_INT_1,NUMERIC
SOURCE_ID_CHAR_1,STRING
SECURITY_ID_INT_1,NUMERIC
SECURITY_ID_INT_2,NUMERIC
SECURITY_ID_INT_3,NUMERIC
SECURITY_ID_CHAR_1,STRING
SECURITY_ID_CHAR_2,STRING
SECURITY_ID_CHAR_3,STRING
SOURCE_ID_INT_2,NUMERIC
SOURCE_ID_CHAR_2,STRING
SOURCE_ID_INT_3,NUMERIC
SOURCE_ID_CHAR_3,STRING
SOURCE_ID_INT_4,NUMERIC
SOURCE_ID_CHAR_4,STRING
TRANSACTION_NUMBER,STRING
LEDGER_ID,NUMERIC
VALUATION_METHOD,STRING
SOURCE_APPLICATION_ID,NUMERIC
UPG_BATCH_ID,NUMERIC
UPG_SOURCE_APPLICATION_ID,NUMERIC
UPG_VALID_FLAG,STRING
